epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,10290.3,0.90327,0.62179,1.13755,0.80494,0.72603,0.75075,0.50459,0.8988,1.05491,0.98627,0.0015578,0.0015578,0.0015578
136,10368.5,0.86173,0.59955,1.11073,0.78839,0.76556,0.7952,0.52129,0.9324,1.29859,1.02108,0.0015545,0.0015545,0.0015545
137,10446.8,0.89144,0.58267,1.12283,0.85095,0.80822,0.8578,0.58078,0.89255,0.67967,0.98735,0.0015512,0.0015512,0.0015512
138,10524.9,0.88643,0.61901,1.12936,0.84102,0.80822,0.83973,0.51123,0.9498,0.98856,1.01306,0.0015479,0.0015479,0.0015479
139,10603.1,0.88337,0.59641,1.12619,0.78739,0.79452,0.83566,0.5688,0.81998,1.08813,0.96104,0.0015446,0.0015446,0.0015446
140,10681.2,0.86783,0.61079,1.10636,0.87327,0.75521,0.85016,0.65245,0.77731,1.26843,0.91845,0.0015413,0.0015413,0.0015413
141,10759.1,0.88933,0.59595,1.13319,0.84743,0.78082,0.87584,0.64665,0.75399,1.22047,0.89867,0.001538,0.001538,0.001538
142,10837.1,0.84704,0.57627,1.12435,0.8644,0.80822,0.81769,0.60798,0.7957,0.78393,0.92008,0.0015347,0.0015347,0.0015347
143,10916.6,0.88124,0.62435,1.1255,0.85641,0.75342,0.82701,0.60518,0.81261,0.942,0.94222,0.0015314,0.0015314,0.0015314
144,10995.8,0.83206,0.58614,1.11126,0.82038,0.69863,0.78873,0.54628,0.85599,1.43124,0.98804,0.0015281,0.0015281,0.0015281
145,11074.9,0.8509,0.58188,1.11564,0.86946,0.73973,0.82777,0.57898,0.79704,0.92479,0.94426,0.0015248,0.0015248,0.0015248
146,11153.9,0.87666,0.59372,1.13202,0.90215,0.78082,0.82851,0.56809,0.81428,0.8368,0.96178,0.0015215,0.0015215,0.0015215
147,11232.7,0.85278,0.57524,1.1142,0.80355,0.79452,0.85073,0.53875,0.89255,1.24803,0.98078,0.0015182,0.0015182,0.0015182
148,11311.7,0.86094,0.58574,1.12229,0.87701,0.73973,0.84084,0.56695,0.83732,0.81793,0.93471,0.0015149,0.0015149,0.0015149
149,11390.2,0.84669,0.58212,1.11437,0.908,0.82192,0.87901,0.63724,0.79594,0.83188,0.92983,0.0015116,0.0015116,0.0015116
150,11469,0.86505,0.61254,1.13328,0.79878,0.78082,0.83575,0.53625,0.95632,0.98992,1.02321,0.0015083,0.0015083,0.0015083
151,11547.6,0.8549,0.5827,1.10551,0.8702,0.73477,0.82096,0.57451,0.81615,0.9236,0.93861,0.001505,0.001505,0.001505
152,11625.6,0.85156,0.59747,1.12696,0.84945,0.77295,0.7901,0.53632,0.82526,0.98487,0.97122,0.0015017,0.0015017,0.0015017
153,11704.2,0.82291,0.56973,1.09355,0.89265,0.78082,0.8457,0.62198,0.72101,0.88326,0.89989,0.0014984,0.0014984,0.0014984
154,11782.7,0.83715,0.57002,1.1048,0.86542,0.75342,0.8125,0.54231,0.81611,0.84281,0.95605,0.0014951,0.0014951,0.0014951
155,11861,0.81724,0.55765,1.10021,0.78719,0.70944,0.80014,0.5122,0.8898,0.9966,1.00202,0.0014918,0.0014918,0.0014918
156,11938.9,0.83635,0.57801,1.10416,0.84857,0.64384,0.74889,0.5379,0.7863,1.06552,0.93986,0.0014885,0.0014885,0.0014885
157,12017.5,0.81453,0.54659,1.0963,0.84378,0.81392,0.85507,0.60169,0.75215,1.20009,0.89572,0.0014852,0.0014852,0.0014852
158,12095.5,0.84638,0.57936,1.10295,0.87201,0.7467,0.83662,0.57403,0.80406,0.8884,0.98179,0.0014819,0.0014819,0.0014819
159,12174.1,0.8504,0.56088,1.10348,0.89161,0.72603,0.81245,0.60942,0.73359,1.02352,0.91478,0.0014786,0.0014786,0.0014786
160,12252.4,0.86404,0.59209,1.11021,0.82189,0.75859,0.82354,0.55014,0.79614,0.75651,0.91794,0.0014753,0.0014753,0.0014753
161,12330.9,0.84165,0.56983,1.10274,0.83275,0.79452,0.80073,0.5908,0.75487,0.78887,0.8985,0.001472,0.001472,0.001472
162,12409.3,0.83785,0.58036,1.11177,0.77068,0.78266,0.83451,0.60814,0.81223,0.90695,0.93497,0.0014687,0.0014687,0.0014687
163,12489,0.76257,0.53121,1.07394,0.83924,0.85817,0.90503,0.62576,0.80344,0.74759,0.95981,0.0014654,0.0014654,0.0014654
164,12567.6,0.86425,0.60625,1.12815,0.76954,0.78082,0.83584,0.57509,0.79128,0.76484,0.98124,0.0014621,0.0014621,0.0014621
165,12646.6,0.79066,0.54489,1.07393,0.85841,0.68493,0.79537,0.52634,0.84939,0.98033,1.0173,0.0014588,0.0014588,0.0014588
166,12724.7,0.79296,0.54905,1.08125,0.8778,0.88563,0.8858,0.59811,0.79934,0.80423,0.95021,0.0014555,0.0014555,0.0014555
167,12803.1,0.83288,0.57578,1.11166,0.86693,0.86301,0.86501,0.62547,0.74838,1.34726,0.91356,0.0014522,0.0014522,0.0014522
168,12881.3,0.8258,0.54448,1.09684,0.77811,0.72062,0.81126,0.53335,0.86202,0.82162,1.01668,0.0014489,0.0014489,0.0014489
169,12959.5,0.81053,0.54644,1.09932,0.85423,0.79452,0.86752,0.64387,0.71145,0.7082,0.8944,0.0014456,0.0014456,0.0014456
170,13037.3,0.81036,0.54788,1.08647,0.89578,0.82422,0.84562,0.60011,0.72518,1.00388,0.93531,0.0014423,0.0014423,0.0014423
171,13115.8,0.82157,0.54754,1.08948,0.76525,0.80383,0.81614,0.5989,0.77384,0.89859,0.96351,0.001439,0.001439,0.001439
172,13193.8,0.76447,0.52803,1.0764,0.86936,0.82046,0.84409,0.61098,0.73049,0.85623,0.87702,0.0014357,0.0014357,0.0014357
173,13271.7,0.79119,0.54915,1.09183,0.91275,0.85988,0.88804,0.61052,0.79476,0.70031,0.93715,0.0014324,0.0014324,0.0014324
174,13350.7,0.81113,0.56728,1.09697,0.90101,0.87281,0.87113,0.61624,0.77228,0.70672,0.9465,0.0014291,0.0014291,0.0014291
175,13428.9,0.7824,0.5571,1.07696,0.81904,0.80603,0.84466,0.63782,0.78424,0.66324,0.98419,0.0014258,0.0014258,0.0014258
176,13507.4,0.80935,0.54774,1.08554,0.80044,0.87918,0.88871,0.62457,0.77958,0.90959,0.92369,0.0014225,0.0014225,0.0014225
177,13586,0.77538,0.54881,1.06858,0.86344,0.77953,0.82475,0.55801,0.85646,1.11709,1.0251,0.0014192,0.0014192,0.0014192
178,13664.5,0.79455,0.53875,1.08412,0.69007,0.79452,0.78076,0.49306,0.91736,1.04899,1.03593,0.0014159,0.0014159,0.0014159
